kernel_id,tier,category,sub_category,function,value
proving-scheduler,essential,Blockchain Core & Physical Storage,Block Production (mining),Proving scheduler - WindowPoSt deadlines + WinningPoSt eligibility,Recurring liveness proofs and block production; missed windows mean fault penalties and power loss.
venus-pooled-mining,essential,Blockchain Core & Physical Storage,Block Production (mining),Pooled block production (sophon-miner) + distributed sealing cluster (Damocles),Independent block-winning and sealing path for Venus SPs - SP-side client diversity. Dominant stack for China-based SPs (~15% of miners).
evm-eam-actors,essential,Blockchain Core & Physical Storage,VM & Programmability,EVM + EAM actor,"Enables smart contract programmability. Requires keeping shared VM/actors/finality libraries consistent across clients through upgrades. Co-maintained by Lotus, Forest and Fil-B."
randomness-relays,essential,Blockchain Core & Physical Storage,Randomness,High-SLA HTTP + gossipsub relays & quarterly resharing,Keeps randomness reachable and the threshold group healthy as members rotate. Infrastructure and on-call support required.
validated-snapshots,essential,Blockchain Core & Physical Storage,Mainnet Infrastructure,Validated snapshot generation & hosting (~2h cadence),"New/recovering nodes cannot sync from genesis in reasonable time; fresh snapshots keep operators off bad forks. Forest produces them; Lotus can, with more resources."
bootstrap-seed-nodes,essential,Blockchain Core & Physical Storage,Mainnet Infrastructure,Operation of seed nodes a new peer contacts on startup,Without reachable bootstrap nodes a fresh node 'starts and just sits there'.
groth16-params,essential,Blockchain Core & Physical Storage,Mainnet Infrastructure,Serving Groth16 trusted-setup parameters to every node and SP (go-paramfetch),The network cannot generate/verify proofs without these present and unaltered; impacts all nodes (verifiers) and miners (sealers and provers).
calibnet-upgrade-rehearsal,essential,Coordination & Hardening,Testnets,Mainnet-realistic testnet for rehearsing every network-version upgrade,Required rehearsal path that catches consensus-breaking issues before mainnet.
infra-stewardship,essential,Coordination & Hardening,Shared infra stewardship,"Vendor/access governance, runbooks, Slack/Workspace/GitHub stewardship",Connective infra the ecosystem relies on; reduces systemic and key-person risk.
calibnet-miners,essential,Coordination & Hardening,Testnets - miners,Calibnet miners (Lotus-Miner / Curio / Venus) for upgrade rehearsal,Makes Calibnet a faithful rehearsal; degraded coverage if missing.
calibnet-explorer,essential,Coordination & Hardening,Testnets - explorer,Explorer for Calibration testnet,Supports rehearsal and analysis (need at least one).
network-monitoring-ir,essential,Coordination & Hardening,Network data & monitoring,"Monitoring, archival access and incident response (Grafana, OpsGenie, IR coordination)",Observability and rapid response/recovery through upgrades and outages. Critical for network security; any provider can populate it.
open-network-datasets,essential,Coordination & Incentives,Network data & monitoring,"Aggregates Filecoin on/off-chain data into open, queryable datasets and dashboards","Prepares and presents network KPI metrics; free, vendor-neutral network data anyone can reuse - no rebuilding their own pipeline."
chain-etl-spacescope,essential,Coordination & Incentives,Network data & monitoring,"Chain ETL, indexing, normalization & parameter matching (BigQuery, Spacescope API)","Free, vendor-neutral chain data anyone can reuse - no rebuilding their own pipeline."
chain-etl-indexing,essential,Coordination & Incentives,Network data & monitoring,Chain ETL and indexing,
mainnet-explorer,essential,UX/DX,Explorers and Tooling,"Mainnet block explorer (Lotus archive, indexing, NV maintenance)",Primary accessibility/observability surface for users and SPs.
network-documentation,essential,UX/DX,Explorers and Tooling,Network-wide documentation along with source code availability and source control,Onboarding to the ecosystem.
content-routing-ads,essential,Storage Market Middleware,Content routing,System to advertise CID content records,"An adopted solution for content routing is essential. The network doesn't halt, but it stops being a useful storage network."
dealmaking-pdp-retrieval,essential,Blockchain Core & Physical Storage,Block Production (mining),Deal-making + PDP + HTTP retrieval,Composable deal interface and hot-storage proving - the demand-side onramp for SPs.
stablecoin-settlement,important,UX/DX,Stablecoin & yield,Overcollateralized stablecoin settlement rail for storage and service payments (USDFC),"Storage and retrieval priced in a volatile native token cannot be quoted or invoiced across a multi-month term; a stable unit of account on FVM is what lets paid storage, Filecoin Pay rails and onchain-cloud services be sold to enterprises. If it depegs or its liquidity dries up, onchain payments lose their unit of account. Committee steward: Secured Finance (requirement usdfc-overcollateralised-stablecoin)."
ecosystem-coordination,important,UX/DX,Public-goods coordination,"Technical program coordination, ecosystem technical support and discretionary grant administration across kernel teams","The kernel is maintained by ~15 independent teams with no shared employer. Coordination is what sequences cross-team upgrades, gives SPs and integrators a support path, and funds gaps too small or too urgent for a funding round. Without it, gaps surface only when something breaks. Committee steward: Open Impact Foundation - FilPonto Cell (requirement public-goods-coordination-rpc-indexers-wallet-oracle)."
