team,function_id,metric,kernel_id,state,origin,grant_ref,oso_project_slug,karma_project_id,karma_project_slug,source_host,repos,cadence,sla_statement
chain-love,rpc-latency-p50,rpc_p50_latency_seconds,chain-sync-state,adopted,karma,APP-P706QNLF-NLQPG5,chain-love,0xc2eda7715129182fa651b7c5900e73c2b9dea5c5ef8c13cfdf864220c985f732,chainlove,uptimerobot.filecoin.chain.love,,daily,"Median public RPC response latency from Chain.Love's own metrics feed, measured daily — a fresh chain head says the node is syncing, but not that the endpoint is usable"
chainsafe,bootstrap-dns-mainnet,bootstrap_dns_status,bootstrap-seed-nodes,adopted,oso,APP-VQC3PIBY-G2UDZJ,filecoin-community-services-chainsafe,0x75cc953769675bac82a08eb6d4ebb253824e1520cd880477f07923549a92e7a4,filecoin-infrastructure-services,dns.google,,daily,"ChainSafe mainnet bootstrap host resolvability: DNS RCODE for bootstrap-mainnet-0.chainsafe-fil.io, measured daily — a fresh node that cannot resolve its seed peers 'starts and just sits there'"
chainsafe,calibnet-faucet-wallet-activity,faucet_days_since_last_message,calibnet-miners,draft,karma,,forest-chainsafe,,,calibration.filfox.info,,daily,"ChainSafe's calibnet faucet wallet t1lo4ajjyeygqn3lkrw6izwz6aft5chshngs6gjxa keeps dispensing: days since its last on-chain message <= 7, measured daily"
chainsafe,calibnet-miner-power,calibnet_miner_qap_bytes,calibnet-miners,adopted,karma,APP-VQC3PIBY-G2UDZJ,filecoin-community-services-chainsafe,0x75cc953769675bac82a08eb6d4ebb253824e1520cd880477f07923549a92e7a4,filecoin-infrastructure-services,calibration.filfox.info,,weekly,"ChainSafe's calibnet rehearsal miner t0181521 keeps >= 250 TB quality-adjusted power on-chain (the team's own Karma target), measured weekly"
chainsafe,calibnet-snapshot-freshness,calibnet_snapshot_age_seconds,calibnet-upgrade-rehearsal,adopted,oso,APP-VQC3PIBY-G2UDZJ,filecoin-community-services-chainsafe,0x75cc953769675bac82a08eb6d4ebb253824e1520cd880477f07923549a92e7a4,filecoin-infrastructure-services,forest-archive.chainsafe.dev,,daily,"Calibnet snapshot freshness: age of the newest snapshot in the archive listing, measured daily"
chainsafe,forest-release-cadence,avg_days_between_releases,forest-full-node,adopted,oso,APP-P0UD8I92-78VVRM,forest-chainsafe,0x16bc3ee698d158aec7d1931c0254d4f7736aa300ddf64615348f9e4b30e4bb2a,forest---an-efficient-and-lightweight-filecoin-node,api.github.com,chainsafe/forest,monthly,"Forest ships a release at least every 45 days on average (active-maintenance signal), measured monthly"
chainsafe,mainnet-diff-snapshot-freshness,diff_snapshot_age_seconds,validated-snapshots,draft,karma,,forest-chainsafe,,,forest-archive.chainsafe.dev,,daily,"Fresh mainnet DIFF snapshots keep publishing: newest diff snapshot in the archive listing is <= 172800s (48h) old, measured daily"
chainsafe,mainnet-lite-snapshot-freshness,lite_snapshot_age_seconds,validated-snapshots,draft,karma,,forest-chainsafe,,,forest-archive.chainsafe.dev,,daily,"Fresh mainnet LITE snapshots keep publishing: newest lite snapshot in the archive listing is <= 2592000s (30 days) old, measured daily"
chainsafe,mainnet-snapshot-freshness,snapshot_age_seconds,validated-snapshots,adopted,oso,APP-P0UD8I92-78VVRM,forest-chainsafe,0x16bc3ee698d158aec7d1931c0254d4f7736aa300ddf64615348f9e4b30e4bb2a,forest---an-efficient-and-lightweight-filecoin-node,forest-archive.chainsafe.dev,,daily,"Mainnet snapshot freshness: age of the newest snapshot in the archive listing, measured daily"
fil-b,docs-open-issues,docs_open_issues,network-documentation,adopted,karma,APP-OFZ5ILTO-QC1XCM,fil-builders,0xbc5c4226ca4f694a01471491d698d35f8e1d9e6e2086317f5354f65475fd00d7,filecoin-docs,api.github.com,filecoin-project/filecoin-docs,weekly,"Open issue count on filecoin-project/filecoin-docs, measured weekly — the backlog the funded documentation work is drawing down"
fil-b,network-documentation-commit-recency,docs_last_commit_age_days,network-documentation,adopted,oso,APP-OFZ5ILTO-QC1XCM,fil-builders,0xbc5c4226ca4f694a01471491d698d35f8e1d9e6e2086317f5354f65475fd00d7,filecoin-docs,api.github.com,filecoin-project/filecoin-docs,weekly,"Docs repo activity: age of the most recent commit on filecoin-project/filecoin-docs, measured weekly"
fil-ponto,cuzk-upstream-prs,cuzk_upstream_prs,sealing-pipeline,draft,karma,,filponto,,,api.github.com,,monthly,"Cuzk SP improvements ported into Lotus Miner: count of cuzk PRs merged into filecoin-project/lotus during the grant term (2026-10-01 to 2027-03-31) >= 1, measured monthly"
filecoin-data-portal,network-data-portal-pipeline-freshness,pipeline_success_age_days,open-network-datasets,adopted,oso,APP-0QLIOMS2-JSK1EM,filecoin-data-portal-davidgasquez,0x1ee539ac73ec080cdb6fec077c1ba1fd99690c0d744a8ccce5cd4e05ad6625cd,filecoin-data-portal,api.github.com,davidgasquez/filecoin-data-portal,daily,"Dataset freshness: age of the most recent successful daily Pipeline run, measured daily"
filecoin-infra-misc,network-monitoring-status-page,status_page_updated_age_days,network-monitoring-ir,draft,oso,,starboard-ventures,,,status.filecoin.io,,weekly,"The public Filecoin status page was updated <= 45 days ago, measured weekly — a live status/monitoring surface is the public face of incident response"
filecoin-infra-misc,shared-infra-stewardship,stewardship_attestation,infra-stewardship,draft,oso,,sead-ai,,,fixture,,monthly,"Committee attests vendor/access governance, runbooks and workspace stewardship were performed, measured monthly (UNMEASURABLE BY MACHINE; fixture placeholder)"
filecoin-infra-misc,trusted-setup-param-hosting,param_gateway_availability_ratio,groth16-params,draft,oso,,unfunded,,,fixture,,monthly,"Groth16 parameter gateway (proofs.filecoin.io) availability >= 0.99, measured monthly — nodes and SPs cannot verify or generate proofs without these files (AWAITING REAL SOURCE; fixture placeholder)"
filoz,builtin-actors,release_age_days,builtin-actor-suite,draft,oso,,filozone,,,api.github.com,filecoin-project/builtin-actors,monthly,"A tagged builtin-actors release <= 90 days old, measured monthly"
filoz,curio-pdp-active-proofsets,pdp_active_proof_sets,dealmaking-pdp-retrieval,adopted,oso,APP-HDYJESMD-2WLL00,filozone,0xff90efdd8d003005f162c645c5ffbd65f403839853d8fc278d5e566cc7ad1388,curio,api.goldsky.com,,daily,"PDP on mainnet: count of active proof sets, measured daily"
filoz,curio-sealing-release-cadence,avg_days_between_releases,sealing-pipeline,adopted,oso,APP-HDYJESMD-2WLL00,filozone,0xff90efdd8d003005f162c645c5ffbd65f403839853d8fc278d5e566cc7ad1388,curio,api.github.com,filecoin-project/curio,monthly,"Curio release cadence: average days between releases (a sealing-pipeline maintenance signal), measured monthly"
filoz,curio-windowpost-winningpost-scheduler,avg_blocks_per_tipset,proving-scheduler,adopted,oso,APP-HDYJESMD-2WLL00,filozone,0xff90efdd8d003005f162c645c5ffbd65f403839853d8fc278d5e566cc7ad1388,curio,filfox.info,,daily,"Win-count health: network average blocks per tipset, of 5 expected, measured daily — a network-wide reading rather than a Curio-specific one"
filoz,evm-eam-actor-maintenance,avg_days_between_releases,evm-eam-actors,draft,oso,,filozone,,,api.github.com,filecoin-project/builtin-actors,monthly,"builtin-actors (home of the EVM + EAM actors) ships a release at least every 60 days on average, measured monthly"
filoz,lotus-consensus-client-release-cadence,avg_days_between_stable_releases,consensus-validation-client,draft,oso,,filozone,,,api.github.com,filecoin-project/lotus,monthly,"Lotus ships a stable (non-RC) release at least every 60 days on average (consensus-client maintenance signal), measured monthly"
filoz,lotus-miner-winningpost-block-production,mainnet_avg_tipset_interval_seconds,block-production,draft,oso,,filozone,,,filfox.info,,daily,"Mainnet keeps its ~30s epoch cadence: average tipset interval <= 45s, measured daily"
filoz,pdp-active-providers,pdp_total_providers,dealmaking-pdp-retrieval,draft,karma,,curio-filecoin-project,,,api.goldsky.com,,weekly,"PDP provider base holds: total registered PDP providers >= 3 (Curio Core's Karma target names >= 3 mainnet providers), measured weekly"
goldsky,fevm-chain-indexing-errors,fevm_subgraph_indexing_errors,open-network-datasets,adopted,oso,APP-RRMZE7XC-XAVG4W,goldsky,0xe5610436fb780fc14224e2c60bc1515d8a77b16d6dcb387d94d74dd7134d41c2,goldsky,api.goldsky.com,,daily,"Goldsky-hosted Filecoin FEVM subgraph indexing-error flag (hasIndexingErrors), measured daily"
goldsky,fevm-chain-indexing-freshness,fevm_subgraph_indexing_lag_seconds,open-network-datasets,adopted,oso,APP-RRMZE7XC-XAVG4W,goldsky,0xe5610436fb780fc14224e2c60bc1515d8a77b16d6dcb387d94d74dd7134d41c2,goldsky,api.goldsky.com,,daily,"Goldsky-hosted Filecoin FEVM subgraph indexing lag: wall clock minus indexed block timestamp, measured daily — stale chain ETL breaks every downstream consumer at once"
libp2p-networking,libp2p-release-cadence,libp2p_avg_days_between_releases,p2p-networking-stack,draft,oso,,ipshipyard,,,api.github.com,libp2p/go-libp2p,monthly,"go-libp2p ships a release every 60 days on average (active-maintenance signal), measured monthly — the transport/GossipSub/DHT stack must track upstream fixes"
libp2p-networking,mainnet-block-propagation-cadence,mainnet_avg_seconds_per_epoch,p2p-networking-stack,draft,oso,,ipshipyard,,,filfox.info,,daily,"Mainnet advances on the ~30s epoch cadence: avg seconds per epoch <= 45, measured daily — blocks only arrive on cadence if GossipSub propagation and peer discovery work"
lily,lily-etl-maintenance,lily_days_since_last_commit,chain-etl-spacescope,draft,oso,,starboard-ventures,,,api.github.com,filecoin-project/lily,monthly,"Lily has a commit <= 90 days old, measured monthly — the chain ETL/indexer must track network upgrades or the open datasets it feeds go stale"
oif-ipni,content-routing-ipni,ipni_error_free_ratio,content-routing-ads,adopted,oso,APP-O66TN87V-3MDZFT,ipni,0x2fddd9c872bea0b4c0747e20b371682b598dc73c9b16785350b641b982e18567,ipni-interplanetary-network-indexer-1,cid.contact,,daily,"IPNI providers error-free: >= 90% of providers report no LastError, measured daily"
oif-ipni,content-routing-ipni-ingest-liveness,ipni_providers_advertised_24h,content-routing-ads,adopted,oso,APP-O66TN87V-3MDZFT,ipni,0x2fddd9c872bea0b4c0747e20b371682b598dc73c9b16785350b641b982e18567,ipni-interplanetary-network-indexer-1,cid.contact,,daily,"Ad-chain ingestion liveness: providers showing a LastAdvertisementTime within the past 24h, measured daily"
oif-ipni,content-routing-ipni-provider-count,ipni_provider_count,content-routing-ads,adopted,oso,APP-O66TN87V-3MDZFT,ipni,0x2fddd9c872bea0b4c0747e20b371682b598dc73c9b16785350b641b982e18567,ipni-interplanetary-network-indexer-1,cid.contact,,daily,"Breadth of the IPNI provider set: providers listed on cid.contact, measured daily"
oif-ipni,content-routing-ipni-readiness,ipni_indexer_ready,content-routing-ads,adopted,karma,APP-O66TN87V-3MDZFT,ipni,0x2fddd9c872bea0b4c0747e20b371682b598dc73c9b16785350b641b982e18567,ipni-interplanetary-network-indexer-1,cid.contact,,daily,"The IPNI indexer reports itself ready on its own health endpoint (1 when status is 'ready', else 0), measured daily — the readiness signal the committee asked for and cid.contact now serves as JSON"
plumbline,calibnet-sp-power-share,calibnet_miner_qap_share,calibnet-miners,adopted,karma,APP-U5CX297Z-XKDQDZ,reiers-filecoin,0x143bc4d490c05ea98a88247cf25b687450f922ea6c6f2a386aef50bdf651795b,plumbline--calibrationnet-stability-project,calibration.filfox.info,,weekly,"Plumbline's calibnet SP t0143103 stays decentralization-friendly: its share of calibnet quality-adjusted power < 1/3 (the team's own Karma target), measured weekly"
proving,proving-crypto-primitives-maintenance,bellperson_days_since_last_commit,proving-subsystem,draft,oso,,unfunded,,,api.github.com,filecoin-project/bellperson,monthly,"bellperson (Groth16 prover) has a commit <= 180 days old, measured monthly — the crypto primitives under PoRep/PoSt must remain maintained"
proving,rust-fil-proofs-maintenance,proofs_days_since_last_commit,proving-subsystem,draft,oso,,unfunded,,,api.github.com,filecoin-project/rust-fil-proofs,monthly,"rust-fil-proofs has a commit <= 120 days old, measured monthly — the proving library must stay staffed; a regression here halts proving network-wide"
randamu,drand-relay-mirror-liveness,relay_mirror_round_lag,randomness-relays,adopted,oso,APP-KOZT1PS1-T25XTE,drand,0xf30384267e9c5a546cbc1fa21f3f34ca2248f45a7eefb96043dd60b9e5d3035c,drand-improving-the-gossipsub-libp2p-distribution-network-and-relays-services,drand.cloudflare.com,,daily,"An independent drand HTTP relay (Cloudflare) stays in sync: expected - current <= 2 rounds, measured daily — randomness must be reachable even if the primary relay fails"
randamu,drand-relay-quicknet-freshness,relay_quicknet_round_lag,randomness-relays,adopted,oso,APP-KOZT1PS1-T25XTE,drand,0xf30384267e9c5a546cbc1fa21f3f34ca2248f45a7eefb96043dd60b9e5d3035c,drand-improving-the-gossipsub-libp2p-distribution-network-and-relays-services,api3.drand.sh,,daily,"Randamu relay mirror serves fresh quicknet rounds: wall-clock expected round minus served round <= 20 rounds (60s), measured daily"
randamu,drand-relay-statuspage,statuspage_impact_level,randomness-relays,adopted,oso,APP-KOZT1PS1-T25XTE,drand,0xf30384267e9c5a546cbc1fa21f3f34ca2248f45a7eefb96043dd60b9e5d3035c,drand-improving-the-gossipsub-libp2p-distribution-network-and-relays-services,drand.statuspage.io,,daily,"drand's own status-page incident indicator, measured daily — the operator-reported health of the HTTP relay network Filecoin SPs consume randomness from"
randamu,drand-release-cadence,avg_days_between_releases,randomness-relays,adopted,karma,APP-KOZT1PS1-T25XTE,drand,0xf30384267e9c5a546cbc1fa21f3f34ca2248f45a7eefb96043dd60b9e5d3035c,drand-improving-the-gossipsub-libp2p-distribution-network-and-relays-services,api.github.com,drand/drand,monthly,"drand ships a software-stack release at least every 45 days on average (active-maintenance signal), measured monthly"
randamu,randomness-beacon,beacon_round_lag,distributed-randomness-beacon,adopted,oso,APP-KOZT1PS1-T25XTE,drand,0xf30384267e9c5a546cbc1fa21f3f34ca2248f45a7eefb96043dd60b9e5d3035c,drand-improving-the-gossipsub-libp2p-distribution-network-and-relays-services,api.drand.sh,,daily,"drand beacon relay not lagging: expected - current <= 1 round, measured daily"
secured-finance,usdfc-axlusdc-pool-tvl,usdfc_pool_tvl_usd,stablecoin-settlement,adopted,karma,APP-Z1L7URG7-TJ3G5D,secured-finance,0x8dde476a5e0b221a1bd168df2ccea030df7b81cc55825da21c9e1ff1f7e116a1,secured-finance,api.geckoterminal.com,,weekly,"USDFC–axlUSDC pool depth: GeckoTerminal reserve_in_usd, measured weekly. Reported for context — the agreement places liquidity provision outside this grant's scope"
secured-finance,usdfc-axlusdc-pool-volume,usdfc_pool_volume_usd,stablecoin-settlement,adopted,karma,APP-Z1L7URG7-TJ3G5D,secured-finance,0x8dde476a5e0b221a1bd168df2ccea030df7b81cc55825da21c9e1ff1f7e116a1,secured-finance,api.geckoterminal.com,,daily,"USDFC–axlUSDC pool trading flow: GeckoTerminal 24h volume_usd, measured daily. Reported for context — the team commits to publishing this figure, not to reaching a level"
secured-finance,usdfc-peg-deviation,usdfc_peg_deviation,stablecoin-settlement,adopted,karma,APP-Z1L7URG7-TJ3G5D,secured-finance,0x8dde476a5e0b221a1bd168df2ccea030df7b81cc55825da21c9e1ff1f7e116a1,secured-finance,api.geckoterminal.com,,daily,"USDFC peg deviation: USDFC–axlUSDC pool price minus 1.00 USD, signed, read at measurement time and measured daily. Positive is a premium over peg, negative a discount"
secured-finance,usdfc-redemption-fee,usdfc_redemption_fee_pct,stablecoin-settlement,adopted,karma,APP-Z1L7URG7-TJ3G5D,secured-finance,0x8dde476a5e0b221a1bd168df2ccea030df7b81cc55825da21c9e1ff1f7e116a1,secured-finance,filecoin.chain.love,,daily,"USDFC redemption fee: TroveManager getRedemptionRate(), measured daily. Reported for context — a higher rate is normal protocol behaviour under redemption pressure, not a fault"
venus,damocles-maintenance,damocles_days_since_last_commit,venus-pooled-mining,draft,oso,,ipfs-force-community-venus-hub,,,api.github.com,ipfs-force-community/damocles,monthly,"Damocles has a commit <= 120 days old, measured monthly — the Venus distributed sealing cluster must remain maintained for SP-side client diversity"
venus,sophon-miner-maintenance,sophon_miner_days_since_last_commit,venus-pooled-mining,draft,oso,,ipfs-force-community-venus-hub,,,api.github.com,ipfs-force-community/sophon-miner,monthly,"sophon-miner has a commit <= 120 days old, measured monthly — the Venus pooled block-production path must keep pace with network upgrades or Venus SPs lose their independent block-winning route"
zondax,rosetta-release-currency,rosetta_release_age_days,chain-sync-state,adopted,karma,APP-WVTOW236-LUGH7Y,zondax,0x5c1f3a6ead9652f7960f4d3a35d6ec2e0229dfb25f8b91bac26387d8af553f3c,filecoin-core-infrastructure--integration-support,api.github.com,zondax/rosetta-filecoin-proxy,weekly,"Rosetta stack currency: age of the latest rosetta-filecoin-proxy release, measured weekly"
zondax,zondax-node-rpc-archival-depth,archival_tipset_height_served,chain-sync-state,adopted,oso,APP-WVTOW236-LUGH7Y,zondax,0x5c1f3a6ead9652f7960f4d3a35d6ec2e0229dfb25f8b91bac26387d8af553f3c,filecoin-core-infrastructure--integration-support,api.zondax.ch,,weekly,"Zondax archival RPC depth: the height returned by ChainGetTipSetByHeight(100000), Sep 2020, measured weekly — pruned nodes cannot answer this"
